Neutral Citation,Instrument
2021_IECA_342,Offences Against the State Act 1939
2021_IECA_342,Offences Against the State Act 1972
2021_IECA_344,Child Trafficking and Pornography Act 1998
2021_IECA_344,Criminal Justice Act 1993
2021_IECA_344,Criminal Law (Sexual Offences) Act 2017
2021_IECA_345,Habitats Directive
2021_IECA_345,Planning and Development Act 2000
2021_IECA_345,Planning and Development Regulations 2001
2021_IECA_350,Criminal Justice Act 1993
2021_IECA_350,Misuse of Drugs Act 1977
2021_IECA_353,Criminal Justice (Theft and Fraud Offences) Act
2021_IECA_353,Criminal Justice Act 1951
2021_IECA_353,Garda Siochana Act
2021_IECA_354,Criminal Justice Act 1993
2021_IECA_354,Misuse of Drugs Act 1997
2021_IECA_354,Road Traffic Act 1961
2021_IECA_354,Road Traffic Act 2010
2021_IECA_50,European Convention
2021_IECA_50,Immigration Act 1999
2021_IECA_50,Immigration Act 2000
2021_IECA_50,Refugee Act 1996
2021_IECA_75,Council Framework Decision 2002/584
2021_IECA_75,European Arrest Warrant Act 2003
2021_IECA_79,European Arrest Warrant Act 2003
2021_IECA_79,Hague Convention
2021_IECA_79,Legal Aid (Custody Issues Scheme)
2021_IECA_92,Council Framework Decision 2009/299/JHA
2021_IECA_92,Council Framework Decision 2002/584
2021_IECA_92,Criminal Code
2021_IECA_92,European Arrest Warrant Act 2003
2021_IECA_99,European Convention
2021_IECA_99,Human Rights Act 2003
2021_IECA_99,Illegal Immigrants (Trafficking) Act
2021_IECA_99,Immigration Act 1999
2021_IECA_99,Immigration Act 2004
2021_IEHC_10,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_10,European Arrest Warrant Act 2003
2021_IEHC_10,European Convention
2021_IEHC_100,Dublin III Regulation
2021_IEHC_100,European Convention
2021_IEHC_100,International Protection Act 2015
2021_IEHC_108,Council Framework Decision 2009/299/JHA
2021_IEHC_108,Council Framework Decision 2002/584
2021_IEHC_108,Criminal Code
2021_IEHC_108,European Arrest Warrant Act 2003
2021_IEHC_108,European Convention
2021_IEHC_108,Journal of Laws 2019
2021_IEHC_109,Council Framework Decision 2009/299/JHA
2021_IEHC_109,Council Framework Decision 2002/584
2021_IEHC_109,Criminal Code
2021_IEHC_109,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_109,Criminal Law (Sexual Offences) Act
2021_IEHC_109,European Arrest Warrant Act 2003
2021_IEHC_109,European Communities (Control of Drug Precursors) Regulations
2021_IEHC_109,European Convention
2021_IEHC_109,Journal of Laws 2019
2021_IEHC_109,Journal of Laws 2020
2021_IEHC_109,Misuse of Drugs Act
2021_IEHC_109,Public Order Act
2021_IEHC_137,European Arrest Warrant Act
2021_IEHC_149,Companies Act
2021_IEHC_149,Criminal Code
2021_IEHC_149,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_149,European Arrest Warrant Act
2021_IEHC_149,European Convention
2021_IEHC_150,European Arrest Warrant Act
2021_IEHC_150,European Convention
2021_IEHC_150,Misuse of Drugs Act
2021_IEHC_160,Constitution 1937
2021_IEHC_160,Criminal Code
2021_IEHC_160,Criminal Justice (Public Order) Act
2021_IEHC_160,Criminal Law (Amendment) Act 1935
2021_IEHC_160,European Arrest Warrant Act
2021_IEHC_160,Interpretation Act
2021_IEHC_164,International Protection Act 2015
2021_IEHC_164,Legal Services Regulation Act 2015
2021_IEHC_164,Planning and Development Act 2000
2021_IEHC_17,Citizens Rights Directive 2004
2021_IEHC_17,EC (Free Movement of Persons) Regulations 2015
2021_IEHC_17,EU Treaty
2021_IEHC_17,European Communities (Free Movement of Persons) Regulations 2015
2021_IEHC_17,European Convention
2021_IEHC_17,European Union (Free Movement of Persons) Regulations 2015
2021_IEHC_17,Immigration Act 1999
2021_IEHC_17,United Kingdom Immigration Rules
2021_IEHC_170,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_170,European Arrest Warrant Act
2021_IEHC_179,European Arrest Warrant Act
2021_IEHC_194,Civil Service Regulation Act 1956
2021_IEHC_194,Legal Services Regulation Act 2015
2021_IEHC_195,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_195,European Arrest Warrant Act
2021_IEHC_195,Extradition Act
2021_IEHC_196,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_196,European Arrest Warrant Act
2021_IEHC_196,European Convention
2021_IEHC_197,Council Framework Decision 2009/299/JHA
2021_IEHC_197,Council Framework Decision 2002/584
2021_IEHC_197,European Arrest Warrant Act
2021_IEHC_197,Misuse of Drugs Act
2021_IEHC_198,Council Framework Decision 2009/299/JHA
2021_IEHC_198,Council Framework Decision 2002/584
2021_IEHC_198,European Arrest Warrant Act
2021_IEHC_206,European Arrest Warrant Act
2021_IEHC_206,European Convention
2021_IEHC_206,Road Traffic Act
2021_IEHC_207,Council Framework Decision 2009/299/JHA
2021_IEHC_207,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_207,European Arrest Warrant Act
2021_IEHC_210,European Arrest Warrant Act
2021_IEHC_210,European Convention
2021_IEHC_210,Road Traffic Act
2021_IEHC_226,Employment Permits Act 2003
2021_IEHC_226,Fisheries (Amendment) Act 1997
2021_IEHC_226,Fisheries (Amendment) Act 2001
2021_IEHC_226,Immigration Act 2004
2021_IEHC_226,International Protection Act 2015
2021_IEHC_227,Employment Permits Act 2003
2021_IEHC_227,Fisheries (Amendment) Act 1997
2021_IEHC_227,Fisheries (Amendment) Act 2001
2021_IEHC_227,Immigration Act 2004
2021_IEHC_227,International Protection Act 2015
2021_IEHC_236,European Arrest Warrant Act
2021_IEHC_236,European Convention
2021_IEHC_236,Firearms Act
2021_IEHC_236,Firearms and Offensive Weapons Act
2021_IEHC_236,Road Traffic Act
2021_IEHC_241,Criminal Law (Sexual Offences) Act 1993
2021_IEHC_241,Person Act 1997
2021_IEHC_27,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_27,European Arrest Warrant Act 2003
2021_IEHC_270,Council Framework Decision 2009/299/JHA
2021_IEHC_270,Council Framework Decision 2002/584
2021_IEHC_270,European Arrest Warrant Act
2021_IEHC_270,European Convention
2021_IEHC_271,Child Trafficking and Pornography Act
2021_IEHC_271,European Arrest Warrant Act
2021_IEHC_271,European Convention
2021_IEHC_275,ECHR Act 2006
2021_IEHC_275,European Convention
2021_IEHC_275,Human Rights Act 2003
2021_IEHC_275,Immigration Act 1999
2021_IEHC_275,Immigration Act 2004
2021_IEHC_275,International Protection Act 2015
2021_IEHC_276,Immigration Act 1999
2021_IEHC_276,Immigration Act 2004
2021_IEHC_276,International Protection Act 2015
2021_IEHC_289,European Arrest Warrant Act
2021_IEHC_29,European Communities (Reception Conditions) Regulations 2018
2021_IEHC_292,Constitution 1937
2021_IEHC_292,Criminal Law (Amendment) Act 1935
2021_IEHC_292,European Arrest Warrant Act
2021_IEHC_292,Interpretation Act
2021_IEHC_292,Misuse of Drugs Act
2021_IEHC_294,European Council Framework Decision
2021_IEHC_294,European Arrest Warrant Act
2021_IEHC_3,Council Framework Decision 2002/584
2021_IEHC_3,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_3,European Arrest Warrant Act 2003
2021_IEHC_302,European Convention
2021_IEHC_302,Immigration Act 1999
2021_IEHC_305,Council Framework Decision 2009/299/JHA
2021_IEHC_305,Council Framework Decision 2002/584
2021_IEHC_305,Criminal Justice (Public Order) Act
2021_IEHC_305,European Arrest Warrant Act
2021_IEHC_305,European Convention
2021_IEHC_31,Criminal Code
2021_IEHC_31,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_31,European Arrest Warrant Act
2021_IEHC_31,European Convention
2021_IEHC_31,Firearms Act 1925
2021_IEHC_313,Illegal Immigrants (Trafficking) Act 2000
2021_IEHC_313,International Protection Act 2015
2021_IEHC_316,European Council Framework Decision
2021_IEHC_316,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_316,European Arrest Warrant Act
2021_IEHC_316,European Convention
2021_IEHC_32,Employment Permits (Amendment) Act 2014
2021_IEHC_32,European Convention
2021_IEHC_32,Gas Act 1976
2021_IEHC_32,Illegal Immigrants (Trafficking) Act 2000
2021_IEHC_32,International Protection Act 2015
2021_IEHC_32,Offences Against the Person Act 1861
2021_IEHC_32,Refugee Convention 1951
2021_IEHC_330,Criminal Justice Act 1960
2021_IEHC_330,Criminal Justice Act 1984
2021_IEHC_330,European Arrest Warrant Act 2003
2021_IEHC_330,Health Act
2021_IEHC_330,Illegal Immigrants (Trafficking) Act 1999
2021_IEHC_330,Mental Health Act 2001
2021_IEHC_330,Mental Treatment Act 1945
2021_IEHC_374,European Arrest Warrant Act 2003
2021_IEHC_374,European Convention
2021_IEHC_375,Council Framework Decision 2009/299/JHA
2021_IEHC_375,European Arrest Warrant Act
2021_IEHC_38,Council Framework Decision 2009/299/JHA
2021_IEHC_38,European Council Framework Decision
2021_IEHC_38,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_38,European Arrest Warrant Act
2021_IEHC_385,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_385,Criminal Justice Act 2006
2021_IEHC_385,Criminal Justice Act 2007
2021_IEHC_385,European Convention
2021_IEHC_385,Firearms Act
2021_IEHC_385,Firearms and Offensive Weapons Act 1990
2021_IEHC_385,Legal Services Regulation Act 2015
2021_IEHC_385,Misuse of Drugs Act
2021_IEHC_385,Statute of Limitations Act
2021_IEHC_385,Workplace Relations Act
2021_IEHC_4,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_4,European Arrest Warrant Act
2021_IEHC_4,European Convention
2021_IEHC_40,European Convention
2021_IEHC_40,International Protection Act 2015
2021_IEHC_40,Refugee Act 1996
2021_IEHC_404,European Council Framework Decision
2021_IEHC_404,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_404,European Arrest Warrant Act
2021_IEHC_404,European Convention
2021_IEHC_405,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_405,European Arrest Warrant Act
2021_IEHC_405,European Convention
2021_IEHC_405,European Council Framework Decision
2021_IEHC_413,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_413,European Arrest Warrant Act
2021_IEHC_413,European Council Framework Decision
2021_IEHC_414,Constitution
2021_IEHC_414,European Arrest Warrant Act
2021_IEHC_414,European Convention
2021_IEHC_414,European Council Framework Decision
2021_IEHC_414,Firearms Act
2021_IEHC_414,Misuse of Drugs Act
2021_IEHC_426,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_426,European Arrest Warrant Act
2021_IEHC_438,Civil Registration Act 2004
2021_IEHC_438,Immigration Act
2021_IEHC_44,Civil Service Regulation Act
2021_IEHC_44,Civil Service Regulation Act 1956
2021_IEHC_44,Personal Injuries Assessment Board Act 2003
2021_IEHC_44,PIAB Act
2021_IEHC_441,European Arrest Warrant Act
2021_IEHC_441,Council Framework Decision 2009/299/JHA
2021_IEHC_445,Criminal Code
2021_IEHC_445,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_445,European Arrest Warrant Act
2021_IEHC_445,European Convention
2021_IEHC_445,Council Framework Decision 2009/299/JHA
2021_IEHC_460,European Arrest Warrant Act
2021_IEHC_460,European Convention
2021_IEHC_460,European Council Framework Decision
2021_IEHC_460,Road Traffic Act
2021_IEHC_461,European Arrest Warrant Act
2021_IEHC_461,European Convention
2021_IEHC_461,Council Framework Decision 2008/909/JHA
2021_IEHC_461,Council Framework Decision 2002/584
2021_IEHC_491,European Arrest Warrant Act
2021_IEHC_491,European Convention
2021_IEHC_491,European Council Framework Decision
2021_IEHC_491,Road Traffic Act
2021_IEHC_494,Aliens Act 1935
2021_IEHC_494,Employment Permits Act 2006
2021_IEHC_494,Immigration Act 1999
2021_IEHC_494,Immigration Act 2004
2021_IEHC_496,Aliens Act 1935
2021_IEHC_496,Employment Permits Act 2006
2021_IEHC_496,Immigration Act 1999
2021_IEHC_496,Immigration Act 2004
2021_IEHC_50,Children Act
2021_IEHC_50,Criminal Law (Rape) (Amendment) Act
2021_IEHC_50,Criminal Procedure Act
2021_IEHC_50,European Arrest Warrant Act
2021_IEHC_50,Council Framework Decision 2009/299/JHA
2021_IEHC_506,Criminal Damage Act
2021_IEHC_506,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_506,European Arrest Warrant Act
2021_IEHC_506,Council Framework Decision 2009/299/JHA
2021_IEHC_508,European Arrest Warrant Act
2021_IEHC_510,Criminal Damage Act
2021_IEHC_510,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_510,European Arrest Warrant Act
2021_IEHC_510,European Convention
2021_IEHC_510,Council Framework Decision 2009/299/JHA
2021_IEHC_510,European Council Framework Decision
2021_IEHC_519,Civil Registration Act 2004
2021_IEHC_519,Criminal Justice (Public Order) Act 1994
2021_IEHC_519,Legal Services Regulation Act 2015
2021_IEHC_521,European Convention
2021_IEHC_521,Human Rights Act 2003
2021_IEHC_521,Immigration Act 2004
2021_IEHC_537,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_537,European Arrest Warrant Act
2021_IEHC_537,European Convention
2021_IEHC_537,European Prison Rules
2021_IEHC_537,United Nations Standard Minimum Rules
2021_IEHC_546,Immigration Act 2004
2021_IEHC_547,Criminal Justice (Public Order) Act
2021_IEHC_547,European Arrest Warrant Act
2021_IEHC_547,European Convention
2021_IEHC_547,European Council Framework Decision
2021_IEHC_555,Criminal Code
2021_IEHC_555,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_555,European Arrest Warrant Act
2021_IEHC_555,European Convention
2021_IEHC_555,European Council Framework Decision
2021_IEHC_572,Criminal Justice (Miscellaneous Provisions) Act
2021_IEHC_572,Criminal Justice (Terrorist Offences) Act
2021_IEHC_572,EU Treaty
2021_IEHC_572,European Arrest Warrant Act 2003
2021_IEHC_572,European Communities Act 1972
2021_IEHC_572,Council Framework Decision 2009/299/JHA
2021_IEHC_572,Council Framework Decision 2002/584
2021_IEHC_572,European Union (European Arrest Warrant) Act 2003
2021_IEHC_572,Interpretation Act 2005
2021_IEHC_572,Lisbon Treaty
2021_IEHC_572,Transfer of Sentenced Persons Act
2021_IEHC_580,Criminal Damage Act
2021_IEHC_580,European Arrest Warrant Act
2021_IEHC_580,European Convention
2021_IEHC_581,Child Trafficking and Pornography Act
2021_IEHC_581,European Arrest Warrant Act
2021_IEHC_581,European Convention
2021_IEHC_581,Council Framework Decision 2009/299/JHA
2021_IEHC_581,European Council Framework Decision
2021_IEHC_582,Criminal Justice Act
2021_IEHC_582,Criminal Law Act
2021_IEHC_582,European Arrest Warrant Act
2021_IEHC_582,European Convention
2021_IEHC_582,European Council Framework Decision
2021_IEHC_582,Road Traffic (Amendment) Act
2021_IEHC_582,Road Traffic (Licensing of Drivers) Regulations 2006
2021_IEHC_582,Road Traffic Act 1961
2021_IEHC_582,UK Criminal Law Act
2021_IEHC_583,EIA Directive
2021_IEHC_583,Environmental Impact Assessment Directive
2021_IEHC_583,Habitats Directive
2021_IEHC_583,Habitats Directive 92/43/EEC
2021_IEHC_583,Local Government (Planning and Development) Act 1963
2021_IEHC_583,PDR 2001
2021_IEHC_583,Planning and Development Act 2000
2021_IEHC_583,Planning and Development Regulations 2001
2021_IEHC_583,Waste Management Act 1996
2021_IEHC_584,Criminal Justice Act
2021_IEHC_584,Criminal Law (Human Trafficking) Act 2008
2021_IEHC_584,Criminal Law (Sexual Offences) Act
2021_IEHC_584,European Arrest Warrant Act
2021_IEHC_584,European Convention
2021_IEHC_584,European Council Framework Decision
2021_IEHC_585,European Convention
2021_IEHC_585,International Protection Act 2015
2021_IEHC_586,European Convention
2021_IEHC_586,International Protection Act 2015
2021_IEHC_587,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_587,European Arrest Warrant Act
2021_IEHC_587,Council Framework Decision 2009/299/JHA
2021_IEHC_587,European Council Framework Decision
2021_IEHC_588,International Protection Act 2015
2021_IEHC_589,Immigration Act 1999
2021_IEHC_590,Criminal Justice (Public Order) Act
2021_IEHC_590,European Arrest Warrant Act
2021_IEHC_590,European Convention
2021_IEHC_590,European Council Framework Decision
2021_IEHC_592,Bankruptcy Act 1988
2021_IEHC_592,European Convention
2021_IEHC_593,EIA Directive 2011
2021_IEHC_593,Planning and Development Act 2000
2021_IEHC_597,EIA Directive
2021_IEHC_597,EIA Directive 2011
2021_IEHC_597,Environmental Impact Assessment Directive
2021_IEHC_597,PLANNING AND DEVELOPMENT ACT 2000
2021_IEHC_597,Planning and Development Act 2000
2021_IEHC_597,Planning and Development Regulations 2001
2021_IEHC_597,Residential Tenancies Act
2021_IEHC_597,Water Framework Directive
2021_IEHC_601,Harbours Act
2021_IEHC_601,Occupiers Liability Act 1957
2021_IEHC_601,Occupiers Liability Act 1995
2021_IEHC_601,Pilotage Act
2021_IEHC_601,Pilotage Act
2021_IEHC_603,International Protection Act 2015
2021_IEHC_604,International Protection Act 2015
2021_IEHC_605,Civil Liability Act
2021_IEHC_605,Companies Act
2021_IEHC_605,Irish Bank Resolution Corporation Act
2021_IEHC_605,Statute of Limitations Act
2021_IEHC_605,Waste Management Act
2021_IEHC_606,Irish Medicines Board Act
2021_IEHC_606,Medical Practitioners Act 1978
2021_IEHC_606,Medical Practitioners Act 2007
2021_IEHC_608,COVID-19 and Business Interruption Supervisory Framework
2021_IEHC_608,Health Act
2021_IEHC_608,Marine Insurance Act
2021_IEHC_61,European Arrest Warrant Act 2003
2021_IEHC_61,European Convention
2021_IEHC_61,Council Framework Decision 2002/584
2021_IEHC_610,Aarhus Convention
2021_IEHC_610,EIA Directive 2011
2021_IEHC_610,Espoo Convention
2021_IEHC_610,Natura 2000
2021_IEHC_610,Planning and Development Act 2000
2021_IEHC_610,Planning and Development Regulations 2001
2021_IEHC_613,Immigration Act 1999
2021_IEHC_613,International Protection Act 2015
2021_IEHC_618,Planning and Development Act 2000
2021_IEHC_618,Planning and Development Regulations 2001
2021_IEHC_62,Dublin III Regulation
2021_IEHC_62,Immigration Act 1999
2021_IEHC_62,International Protection Act 2015
2021_IEHC_62,Refugee Act 1996
2021_IEHC_620,Central Bank Act 2013
2021_IEHC_620,EC (Markets in Financial Instruments) Regulations 2007
2021_IEHC_620,European Directive
2021_IEHC_620,Investment Intermediaries Act 1995
2021_IEHC_623,Customs Consolidation Act
2021_IEHC_623,Finance Act 2005
2021_IEHC_623,Legal Services Regulation Act 2015
2021_IEHC_624,Defamation Act
2021_IEHC_625,Defamation Act
2021_IEHC_626,Legal Services Regulation Act
2021_IEHC_629,EIA Directive
2021_IEHC_629,EIA Directive 2011
2021_IEHC_629,EIA Directive 2014 
2021_IEHC_629,Local Government (Planning and Development) Act
2021_IEHC_63,EU Treaty
2021_IEHC_630,European Convention
2021_IEHC_630,Immigration Act 1999
2021_IEHC_631,European Arrest Warrant Act
2021_IEHC_631,Council Framework Decision 2009/299/JHA
2021_IEHC_631,European Council Framework Decision
2021_IEHC_631,Misuse of Drugs Act
2021_IEHC_632,Criminal Damage Act
2021_IEHC_632,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_632,European Arrest Warrant Act
2021_IEHC_632,European Convention
2021_IEHC_632,European Council Framework Decision
2021_IEHC_633,Education Act
2021_IEHC_634,European Convention
2021_IEHC_636,Planning and Development Act 2000
2021_IEHC_637,Companies Act
2021_IEHC_637,Conveyancing Act
2021_IEHC_637,European Convention
2021_IEHC_637,Human Rights Act
2021_IEHC_637,Land and Conveyancing Law Reform Act
2021_IEHC_638,Conveyancing Act
2021_IEHC_638,Land and Conveyancing Law Reform Act
2021_IEHC_638,Registration of Title Act
2021_IEHC_639,Criminal Damage Act 1991
2021_IEHC_639,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_639,European Arrest Warrant Act
2021_IEHC_639,Council Framework Decision 2009/299/JHA
2021_IEHC_639,European Council Framework Decision
2021_IEHC_644,Criminal Damage Act
2021_IEHC_644,European Arrest Warrant Act
2021_IEHC_644,European Convention
2021_IEHC_644,Council Framework Decision 2009/299/JHA
2021_IEHC_644,European Council Framework Decision
2021_IEHC_644,Forestry Act
2021_IEHC_645,Legal Services Regulation Act 2015
2021_IEHC_645,Succession Act 1965
2021_IEHC_646,Legal Services Regulation Act 2015
2021_IEHC_646,Valuation Act 2001
2021_IEHC_648,EIA Directive 2011
2021_IEHC_648,Habitats Directive
2021_IEHC_648,Planning and Development Act 2000
2021_IEHC_657,Succession Act
2021_IEHC_659,Civil Liability and Courts Act 2004
2021_IEHC_660,Defamation Act 2009
2021_IEHC_660,Defamation Act 2019
2021_IEHC_662,Planning and Development Act 2000
2021_IEHC_662,Planning and Development Regulations 2001
2021_IEHC_663,Social Welfare (Consolidation) Act
2021_IEHC_663,Tribunal Decision
2021_IEHC_663,Valuation Act 2001
2021_IEHC_664,Companies Act 2014
2021_IEHC_664,Legal Services Regulation Act 2015
2021_IEHC_665,Family Home Protection Act 1976
2021_IEHC_665,Land and Conveyancing Law Reform Act 2009
2021_IEHC_665,Land and Conveyancing Law Reform Act 2013
2021_IEHC_665,Legal Services Regulation Act 2015
2021_IEHC_665,Registration of Title Act 1964
2021_IEHC_666,Environmental Impact Assessment Directive
2021_IEHC_666,Environmental Impact Assessment Directive 2011/92
2021_IEHC_666,Habitats Directive
2021_IEHC_666,Habitats Directive 43/92/EEC
2021_IEHC_666,Local Authorities (Works) Act 1949
2021_IEHC_666,Local Government Act 2001
2021_IEHC_666,Planning and Development Act 2000
2021_IEHC_667,Constitution
2021_IEHC_667,Unfair Dismissals Act 1977
2021_IEHC_667,Workplace Relations Act 2015
2021_IEHC_668,Central Bank Act 1942
2021_IEHC_668,Financial Services and Pensions Ombudsman Act 2017
2021_IEHC_668,FSPO Act 2017
2021_IEHC_668,Legal Services Regulation Act 2015
2021_IEHC_668,Pensions Act 1990
2021_IEHC_670,Criminal Code
2021_IEHC_670,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_670,European Arrest Warrant Act
2021_IEHC_671,European Arrest Warrant Act
2021_IEHC_671,European Council Framework Decision
2021_IEHC_672,Defence Act 1954
2021_IEHC_673,Road Traffic Act 2010
2021_IEHC_675,Legal Services Regulation Act
2021_IEHC_676,Bankruptcy Act
2021_IEHC_679,Occupiers Liability Act 1995
2021_IEHC_680,Companies Act
2021_IEHC_680,Land and Conveyancing Law Reform Act 2009
2021_IEHC_682,Social Welfare (Consolidation) Act 2005
2021_IEHC_683,Immigration Act 1999
2021_IEHC_683,National Planning Framework
2021_IEHC_683,Planning and Development Act 2000
2021_IEHC_684,Civil Partnership and Certain Rights and Obligations of Cohabitants Act 2010
2021_IEHC_684,Family Home Protection Act
2021_IEHC_684,Interpretation Act
2021_IEHC_684,Judicial Separation and Family Law Reform Act
2021_IEHC_684,Succession Act 1965
2021_IEHC_685,Recast Brussels Regulation
2021_IEHC_686,Personal Insolvency Act 2012
2021_IEHC_687,Child Trafficking and Pornography Act
2021_IEHC_687,Criminal Law (Sexual Offences) Act
2021_IEHC_687,European Convention
2021_IEHC_687,Extradition Act
2021_IEHC_687,US Constitution
2021_IEHC_690,Conveyancing Law Reform Act 2009
2021_IEHC_691,Statute of Limitations Act
2021_IEHC_692,Employment Permits Act 2003
2021_IEHC_692,Employment Permits Act 2006
2021_IEHC_692,European Communities Act 1972
2021_IEHC_692,European Convention
2021_IEHC_692,Immigration Act 2004
2021_IEHC_693,International Protection Act 2015
2021_IEHC_695,Companies Act 1963
2021_IEHC_696,Mediation Act 2017
2021_IEHC_696,Solicitors (Amendment) Act 1960
2021_IEHC_698,Criminal Code
2021_IEHC_698,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_698,European Arrest Warrant Act
2021_IEHC_698,European Convention
2021_IEHC_698,Council Framework Decision 2009/299/JHA
2021_IEHC_698,European Council Framework Decision
2021_IEHC_698,Road Traffic Act
2021_IEHC_700,Planning and Development Act 2000
2021_IEHC_701,Companies Act
2021_IEHC_704,Civil Liability and Courts Act 2004
2021_IEHC_704,Occupiers Liability Act 1996
2021_IEHC_705,Children Act
2021_IEHC_705,Courts of Justice Act
2021_IEHC_705,Criminal Justice (Victims of Crime) Act
2021_IEHC_705,Criminal Procedure Act
2021_IEHC_705,Sex Offenders Act
2021_IEHC_706,Companies Act 2014
2021_IEHC_708,Planning and Development Act 2000
2021_IEHC_710,Personal Insolvency (Amendment) Act 2021
2021_IEHC_710,Personal Insolvency Act 2012
2021_IEHC_711,Legal Services Regulation Act 2015
2021_IEHC_712,General Data Protection Regulation
2021_IEHC_712,Teaching Council (Registration) Regulations 2016
2021_IEHC_713,Companies Act 1990
2021_IEHC_713,Companies Act 2014
2021_IEHC_714,Hague Convention
2021_IEHC_714,Legal Services Regulation Act 2015
2021_IEHC_715,Prison Rules 2007
2021_IEHC_716,Constitution 1922
2021_IEHC_716,Constitution 1937
2021_IEHC_716,European Convention
2021_IEHC_716,Human Rights Act 2003
2021_IEHC_717,Dublin Convention
2021_IEHC_717,Dublin III Regulation
2021_IEHC_717,Dublin System Regulations
2021_IEHC_717,European Convention
2021_IEHC_717,European Union (Dublin System) Regulations 2014
2021_IEHC_717,Human Rights Act 2003
2021_IEHC_719,Bankers Books Evidence Act 1879
2021_IEHC_719,Companies Act 2014
2021_IEHC_719,Consumer Contracts Regulations
2021_IEHC_719,Conveyancing and Law of Property Act 1881
2021_IEHC_719,Courts Act 1936
2021_IEHC_719,Family Home Protection Act 1976
2021_IEHC_719,Housing Act
2021_IEHC_719,Interpretation Act 2005
2021_IEHC_719,Land and Conveyancing Law Reform Act 2009
2021_IEHC_719,Land and Conveyancing Law Reform Act 2013
2021_IEHC_719,Registration of Title Act 1964
2021_IEHC_720,Companies (Amendment) Act
2021_IEHC_720,Companies Act 1963
2021_IEHC_720,Judicature Act
2021_IEHC_721,Brussels Regulation
2021_IEHC_721,Courts of Justice Act 1936
2021_IEHC_721,Montreal Convention
2021_IEHC_724,Companies Act 2014
2021_IEHC_726,Central Bank Act 1942
2021_IEHC_726,Consumer Contracts Regulations
2021_IEHC_73,Criminal Law (Insanity) Act
2021_IEHC_73,Criminal Law (Rape) (Amendment) Act
2021_IEHC_73,European Arrest Warrant Act
2021_IEHC_73,Mental Health Act 2001
2021_IEHC_730,Road Traffic (Licensing of Drivers) Regulations
2021_IEHC_730,Road Traffic Act 2002
2021_IEHC_733,Aarhus Convention
2021_IEHC_733,Council Directive 85/337
2021_IEHC_733,Dublin City Development Plan 2016
2021_IEHC_733,EIA Directive 2011
2021_IEHC_733,Espoo Convention
2021_IEHC_733,European Communities (Environmental Assessment of Certain Plans and Programmes) Regulations 2004
2021_IEHC_733,Local Government Act 2001
2021_IEHC_733,Planning and Development Act 2000
2021_IEHC_733,Planning and Development Regulations 2001
2021_IEHC_733,SEA Directive 2001/42
2021_IEHC_733,Strategic Environmental Assessment Regulations 2004
2021_IEHC_733,UN/ECE Convention
2021_IEHC_735,Forestry Act 1946
2021_IEHC_735,Forestry Act 2014
2021_IEHC_736,Registration of Clubs Act 1904
2021_IEHC_737,Consultant Contract 2008
2021_IEHC_737,Health (Amendment) Act 2013
2021_IEHC_737,Health Act 1970
2021_IEHC_737,Health Act 2004
2021_IEHC_737,Health Insurance Act 1994
2021_IEHC_737,Interpretation Act
2021_IEHC_737,Proceeds of Crime Act 1996
2021_IEHC_737,Social Welfare Act
2021_IEHC_737,Unfair Dismissals Act
2021_IEHC_738,Criminal Damage Act
2021_IEHC_738,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_738,European Arrest Warrant Act
2021_IEHC_738,European Convention
2021_IEHC_738,European Council Framework Decision
2021_IEHC_74,Criminal Justice (Theft and Fraud Offences) Act
2021_IEHC_74,European Arrest Warrant Act 2003
2021_IEHC_74,European Convention
2021_IEHC_741,Statute of Frauds
2021_IEHC_742,Criminal Code
2021_IEHC_742,Criminal Justice (Theft and Fraud Offences) Act
